raw_name,standard_name
AP,Ampicillin
OX,Oxacillin
CAZ,Ceftazidime
CRO,Ceftriaxone
CTX,Cefotaxime
FEP,Cefepime
FOX,Cefoxitin
AUG,Amoxicillin/Cla
SAM,Ampicillin/Sulb
TZP,Piperacil/Tazob
SCFP,Cefoperazone/Su
CAZA,Ceftazidime/avi
ETP,Ertapenem
MEM,Meropenem
IPM,Imipenem
DOR,Doripenem
GM,Gentamicin
AK,Amikacin
T,Tetracycline
TGC,Tigecycline
CP,Ciprofloxacin
LVX,Levofloxacin
C,Chloramphenicol
E,Erythromycin
DA,Clindamycin
SXT,Trimetho/Sulfa.
CL,Colistin
VA,Vancomycin
